Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,Run Line,,Open OU,,Close OU,
405,968,H,TOR,RDICKEY-R,0,1,0,0,0,0,0,3,x,4,-111,-129,-1.5,145,8,-110,9,-120
405,969,V,BAL,BNORRIS-R,1,0,0,0,0,0,0,0,5,6,130,118,1.5,-175,8.5,-120,8.5,-120
405,970,H,DET,RPORCELLO-R,0,0,3,0,2,2,0,0,x,7,-145,-133,-1.5,155,8.5,100,8.5,100
405,971,V,CWS,JDANKS-L,0,0,0,0,1,0,0,2,0,3,135,136,1.5,-160,8,-120,8,-105
405,972,H,KAN,BCHEN-L,0,0,0,2,1,0,0,1,x,4,-150,-151,-1.5,140,8,100,8,-115
405,973,V,SEA,FHERNANDZ-R,0,0,0,0,3,0,0,0,0,3,-135,-122,-1.5,140,7,105,7,100
405,974,H,OAK,DSTRAILY-R,0,0,0,0,0,0,0,0,1,1,120,112,1.5,-160,7,-125,7,-120
405,975,V,TEX,NMARTINEZ-R,2,1,0,1,0,0,0,0,0,4,160,160,1.5,-140,7.5,100,7.5,-110
405,976,H,TAM,DPRICE-L,0,0,1,2,0,0,0,2,x,5,-180,-180,-1.5,120,7.5,-120,7.5,-110
405,977,V,LAA,TSKAGGS-L,0,1,0,0,3,0,0,1,0,5,-145,-150,-1.5,105,9,-110,9,-110
405,978,H,HOU,DKEUCHEL-L,1,0,0,0,0,0,0,0,0,1,130,135,1.5,-125,9,-110,9,-110
405,979,V,MIL,WPERALTA-R,1,2,3,0,0,0,0,0,0,7,165,170,1.5,-140,8.5,-115,8.5,-110
405,980,H,BOS,CBUCHHOLZ-R,0,2,3,0,0,1,0,0,0,6,-185,-190,-1.5,120,8.5,-105,8.5,-110
406,901,V,SDG,IKENNEDY-R,0,0,0,0,0,0,3,1,0,4,110,109,1.5,-195,7.5,-105,7.5,-105
406,902,H,MIA,NEOVALDI-R,0,0,0,1,0,0,1,0,0,2,-125,-119,-1.5,165,7.5,-115,7.5,-115
406,903,V,CIN,ASIMON-R,0,0,0,0,0,2,0,0,0,2,-120,-104,1.5,-225,7.5,-105,7,-115
406,904,H,NYM,JNIESE-L,0,1,0,0,0,0,0,0,0,1,110,-106,-1.5,195,7.5,-115,7,-105
406,905,V,STL,WAINWRIGHT-R,0,0,0,0,0,1,0,0,0,1,-160,-165,-1.5,-101,7,-115,7,-106
406,906,H,PIT,EVOLQUEZ-R,0,0,0,1,0,0,1,0,x,2,140,145,1.5,-119,7,-105,7,-114
406,907,V,ATL,AWOOD-L,0,0,0,0,0,1,0,0,0,1,110,-107,1.5,-225,7.5,-105,7,100
406,908,H,WAS,TJORDAN-R,1,0,0,0,0,0,1,0,x,2,-125,-103,-1.5,195,7.5,-115,7,-120
406,909,V,PHI,ABURNETT-R,0,0,0,0,1,0,0,0,2,3,-130,-114,-1.5,155,7.5,100,7.5,107
406,910,H,CUB,VILLANUEVA-R,4,0,0,0,0,4,0,0,x,8,115,104,1.5,-175,7.5,-120,7.5,-127
406,911,V,ARI,WMILEY-L,0,0,2,1,2,0,0,0,0,5,110,111,1.5,-180,9.5,-110,9,-110
406,912,H,COL,BANDERSON-L,0,0,0,0,1,0,1,0,1,3,-125,-126,-1.5,160,9.5,-110,9,-110
406,913,V,SFO,MCAIN-R,0,0,0,0,0,2,0,0,0,2,135,132,1.5,-164,6.5,-110,6.5,-125
406,914,H,LOS,ZGREINKE-R,0,1,0,3,0,1,0,1,x,6,-150,-147,-1.5,144,6.5,-110,6.5,105
406,915,V,MIN,RNOLASCO-R,0,2,3,1,0,3,0,0,1,10,160,175,1.5,-130,7.5,-110,7.5,103
406,916,H,CLE,MASTERSON-R,0,2,0,3,1,1,0,0,0,7,-180,-195,-1.5,110,7.5,-110,7.5,-123
406,917,V,BAL,CTILLMAN-R,0,0,0,0,0,1,0,1,1,3,155,139,1.5,-160,7.5,-115,7.5,-105
406,918,H,DET,VERLANDER-R,0,0,0,1,0,0,0,0,0,1,-175,-154,-1.5,140,7.5,-105,7.5,-115
406,919,V,NYY,CSABATHIA-L,3,0,0,3,0,0,0,0,0,6,-108,111,1.5,-200,9,100,8.5,-115
